UF;Grupo Econômico;media_ano;market_share;hhi_empresa
PB;SURF TELECOM;5714,5;0,0009;0,0081
PB;TELECOM AMERICAS;1024351,52;0,1672;279,55839999999995
PB;TELECOM ITALIA;1546729,85;0,2525;637,5625
PB;TELEFONICA;1915439,38;0,3127;977,8128999999999
PE;AMERICA NET;18,0;0,0;0,0
PE;DATORA;34739,4;0,0025;0,0625
PE;OI;3477378,05;0,2504;627,0016
PE;OUTROS;19581,99;0,0014;0,0196
PE;SURF TELECOM;9933,5;0,0007;0,0049
PE;TELECOM AMERICAS;3523699,85;0,2538;644,1444000000001
PE;TELECOM ITALIA;2791341,21;0,201;404,01000000000005
PE;TELEFONICA;4028921,67;0,2902;842,1604000000001
PI;AMERICA NET;8,0;0,0;0,0
PI;DATORA;851,0;0,0002;0,0004
PI;OI;572884,34;0,149;222,01
PI;OUTROS;18002,12;0,0047;0,2209
PI;SURF TELECOM;6343,0;0,0016;0,0256
PI;TELECOM AMERICAS;1312635,31;0,3413;1164,8569
PI;TELECOM ITALIA;953891,33;0,248;615,04
PI;TELEFONICA;981433,03;0,2552;651,2704
PR;AMERICA NET;4012,0;0,0003;0,0008999999999999999
PR;DATORA;101412,0;0,0065;0,4225
PR;EB FIBRA;84,0;0,0;0,0
PR;LIGGA TELECOM;40992,0;0,0026;0,0676
PR;OI;1257531,36;0,0805;64,80250000000001
PR;OUTROS;240948,79;0,0154;2,3716
PR;SURF TELECOM;135876,5;0,0087;0,7568999999999999
PR;TELECOM AMERICAS;3425105,64;0,2193;480,9248999999999
PR;TELECOM ITALIA;7188375,09;0,4603;2118,7608999999998
PR;TELEFONICA;3223563,21;0,2064;426,0096
RJ;AMERICA NET;3850,0;0,0002;0,0004
RJ;DATORA;175734,6;0,0071;0,5041000000000001
RJ;OI;2813481,69;0,1133;128,3689
RJ;OUTROS;211054,54;0,0085;0,7225
RJ;SURF TELECOM;119716,0;0,0048;0,23039999999999997
RJ;TELECOM AMERICAS;7402248,47;0,298;888,04
RJ;TELECOM ITALIA;7337226,99;0,2953;872,0209000000001
RJ;TELEFONICA;6779679,5;0,2729;744,7440999999999
RN;AMERICA NET;4,0;0,0;0,0
RN;DATORA;12645,73;0,0027;0,0729
RN;OI;1163355,15;0,2463;606,6369
RN;OUTROS;16296,55;0,0034;0,1156
RN;SURF TELECOM;9342,5;0,002;0,04
RN;TELECOM AMERICAS;904337,0;0,1914;366,3395999999999
RN;TELECOM ITALIA;1257839,91;0,2663;709,1569
RN;TELEFONICA;1360091,27;0,2879;828,8640999999999
RO;AMERICA NET;3,0;0,0;0,0
RO;DATORA;1235,0;0,0006;0,0035999999999999995
RO;OI;314596,83;0,1428;203,91840000000002
RO;OUTROS;7951,96;0,0036;0,1296
RO;SURF TELECOM;3942,5;0,0018;0,0324
RO;TELECOM AMERICAS;1021515,77;0,4637;2150,1769
RO;TELECOM ITALIA;463543,4;0,2104;442,6816
RO;TELEFONICA;390244,51;0,1771;313,64410000000004
RR;AMERICA NET;2,0;0,0;0,0
RR;DATORA;1397,2;0,002;0,04
RR;OI;34976,5;0,0502;25,200400000000002
RR;OUTROS;7432,81;0,0107;1,1448999999999998
RR;SURF TELECOM;3306,5;0,0047;0,2209
RR;TELECOM AMERICAS;164969,87;0,2366;559,7956
RR;TELECOM ITALIA;124941,87;0,1792;321,1264
RR;TELEFONICA;360164,01;0,5166;2668,7555999999995
RS;AMERICA NET;3152,0;0,0002;0,0004
RS;DATORA;97921,0;0,0061;0,37210000000000004
RS;OI;1682177,57;0,1056;111,5136
RS;OUTROS;110966,85;0,007;0,49000000000000005
RS;SURF TELECOM;29165,0;0,0018;0,0324
RS;TELECOM AMERICAS;4822046,53;0,3027;916,2729000000002
RS;TELECOM ITALIA;2776415,67;0,1743;303,80490000000003
RS;TELEFONICA;6406974,49;0,4022;1617,6484
SC;AMERICA NET;1812,5;0,0002;0,0004
SC;DATORA;25905,1;0,0027;0,0729
SC;OI;742971,61;0,0762;58,064400000000006
SC;OUTROS;130561,66;0,0134;1,7956000000000003
SC;SURF TELECOM;70384,0;0,0072;0,5184
SC;TELECOM AMERICAS;2253339,26;0,231;533,61
SC;TELECOM ITALIA;3964560,69;0,4064;1651,6096
SC;TELEFONICA;2566278,32;0,2631;692,2161
SE;AMERICA NET;18,0;0,0;0,0
SE;DATORA;2894,0;0,0009;0,0081
SE;OI;533779,54;0,1751;306,6001
SE;OUTROS;7736,34;0,0025;0,0625
SE;SURF TELECOM;2842,5;0,0009;0,0081
SE;TELECOM AMERICAS;799725,71;0,2623;688,0128999999998
SE;TELECOM ITALIA;195622,23;0,0642;41,21639999999999
SE;TELEFONICA;1506401,84;0,4941;2441,3480999999997
SP;ALGAR (CTBC TELECOM);2999962,27;0,0342;11,6964
SP;AMERICA NET;129284,0;0,0015;0,0225
SP;DATORA;843745,01;0,0096;0,9215999999999999
SP;OI;7303231,2;0,0832;69,2224
SP;OUTROS;823173,21;0,0094;0,8836
SP;SURF TELECOM;161395,5;0,0018;0,0324
SP;TELECOM AMERICAS;27744324,38;0,3159;997,9281000000001
SP;TELECOM ITALIA;19688616,26;0,2242;502,6564000000001
SP;TELEFONICA;28128760,41;0,3203;1025,9208999999998
TO;AMERICA NET;5,0;0,0;0,0
TO;DATORA;2301,4;0,0011;0,012100000000000001
TO;OI;378966,98;0,1793;321,4848999999999
TO;OUTROS;7728,36;0,0037;0,13690000000000002
TO;SURF TELECOM;3134,5;0,0015;0,0225
TO;TELECOM AMERICAS;969113,23;0,4585;2102,2225000000003
TO;TELECOM ITALIA;503953,26;0,2384;568,3456
TO;TELEFONICA;248263,65;0,1175;138,0625
