Código Nacional;Grupo Econômico;media_ano;market_share;hhi_empresa
31;SURF TELECOM;19121,5;0,0015;0,0225
31;TELECOM AMERICAS;4083837,82;0,3164;1001,0896000000001
31;TELECOM ITALIA;1989589,93;0,1542;237,77640000000002
31;TELEFONICA;4399445,85;0,3409;1162,1281
32;AMERICA NET;7,0;0,0;0,0
32;DATORA;9660,0;0,0035;0,12250000000000001
32;EB FIBRA;26,0;0,0;0,0
32;OI;455368,98;0,1639;268,6321
32;OUTROS;8342,58;0,003;0,09
32;SURF TELECOM;4531,0;0,0016;0,0256
32;TELECOM AMERICAS;436844,57;0,1572;247,11840000000004
32;TELECOM ITALIA;752550,61;0,2709;733,8680999999998
32;TELEFONICA;1110861,97;0,3999;1599,2000999999998
33;AMERICA NET;45,0;0,0;0,0
33;DATORA;9680,0;0,0032;0,1024
33;EB FIBRA;28,0;0,0;0,0
33;OI;697274,82;0,2295;526,7025
33;OUTROS;6470,23;0,0021;0,04409999999999999
33;SURF TELECOM;3233,0;0,0011;0,012100000000000001
33;TELECOM AMERICAS;935590,61;0,3079;948,0241000000001
33;TELECOM ITALIA;229504,76;0,0755;57,0025
33;TELEFONICA;1156676,54;0,3807;1449,3249
34;ALGAR (CTBC TELECOM);946715,7;0,2656;705,4336
34;AMERICA NET;20,5;0,0;0,0
34;DATORA;14001,0;0,0039;0,15209999999999999
34;OI;378293,09;0,1061;112,5721
34;OUTROS;9523,88;0,0027;0,0729
34;SURF TELECOM;5223,5;0,0015;0,0225
34;TELECOM AMERICAS;662183,43;0,1858;345,21639999999996
34;TELECOM ITALIA;626486,65;0,1758;309,05640000000005
34;TELEFONICA;921791,87;0,2586;668,7396
35;ALGAR (CTBC TELECOM);20231,62;0,0055;0,3025
35;AMERICA NET;1780,5;0,0005;0,0025
35;DATORA;17864,0;0,0048;0,23039999999999997
35;OI;458477,4;0,1242;154,2564
35;OUTROS;43334,95;0,0117;1,3689
35;SURF TELECOM;18976,5;0,0051;0,26010000000000005
35;TELECOM AMERICAS;742800,44;0,2013;405,21690000000007
35;TELECOM ITALIA;537584,56;0,1457;212,2849
35;TELEFONICA;1849693,47;0,5012;2512,0144
37;ALGAR (CTBC TELECOM);91201,01;0,0519;26,936100000000003
37;AMERICA NET;22,0;0,0;0,0
37;DATORA;9690,0;0,0055;0,3025
37;EB FIBRA;20,0;0,0;0,0
37;OI;193236,61;0,11;121,0
37;OUTROS;9862,41;0,0056;0,3136
37;SURF TELECOM;4893,5;0,0028;0,0784
37;TELECOM AMERICAS;246262,73;0,1402;196,56039999999996
37;TELECOM ITALIA;253099,84;0,1441;207,64810000000003
37;TELEFONICA;948346,17;0,5399;2914,9201000000003
38;ALGAR (CTBC TELECOM);1,0;0,0;0,0
38;AMERICA NET;7,0;0,0;0,0
38;DATORA;9800,0;0,0036;0,1296
38;OI;317149,66;0,1157;133,86489999999998
38;OUTROS;7972,63;0,0029;0,0841
38;SURF TELECOM;3471,5;0,0013;0,0169
38;TELECOM AMERICAS;448001,84;0,1634;266,99559999999997
38;TELECOM ITALIA;440959,42;0,1608;258,5664
38;TELEFONICA;1514310,05;0,5523;3050,3529000000003
41;AMERICA NET;1704,5;0,0003;0,0008999999999999999
41;DATORA;55757,0;0,0091;0,8281000000000001
41;OI;473656,77;0,0773;59,7529
41;OUTROS;45876,97;0,0075;0,5625
41;SURF TELECOM;24161,0;0,0039;0,15209999999999999
41;TELECOM AMERICAS;1578610,33;0,2578;664,6084
41;TELECOM ITALIA;2447724,58;0,3997;1597,6009
41;TELEFONICA;1496175,55;0,2443;596,8249
42;AMERICA NET;1384,5;0,0008;0,0064
42;DATORA;8860,9;0,0049;0,24009999999999998
42;EB FIBRA;24,0;0,0;0,0
42;OI;170506,25;0,0937;87,79690000000001
42;OUTROS;27744,84;0,0152;2,3104
42;SURF TELECOM;13235,5;0,0073;0,5329
42;TELECOM AMERICAS;281344,34;0,1546;239,0116
42;TELECOM ITALIA;940226,47;0,5168;2670,8224000000005
42;TELEFONICA;376129,89;0,2067;427,24889999999994
43;AMERICA NET;844,5;0,0003;0,0008999999999999999
43;DATORA;8780,9;0,0032;0,1024
43;LIGGA TELECOM;40992,0;0,0149;2,2201
43;OI;277273,0;0,1005;101,00250000000001
43;OUTROS;36469,18;0,0132;1,7424
43;SURF TELECOM;21928,5;0,0079;0,6241000000000001
43;TELECOM AMERICAS;729258,38;0,2643;698,5448999999999
43;TELECOM ITALIA;1159145,47;0,4201;1764,8400999999997
43;TELEFONICA;484378,97;0,1756;308,35360000000003
44;AMERICA NET;3,0;0,0;0,0
44;DATORA;8857,0;0,0034;0,1156
44;EB FIBRA;38,0;0,0;0,0
44;OI;189633,38;0,0724;52,41760000000001
44;OUTROS;68920,12;0,0263;6,9169
44;SURF TELECOM;35741,5;0,0136;1,8496
44;TELECOM AMERICAS;445221,55;0,17;289,00000000000006
44;TELECOM ITALIA;1421374,89;0,5428;2946,318399999999
44;TELEFONICA;448766,0;0,1714;293,77959999999996
45;AMERICA NET;18,0;0,0;0,0
45;DATORA;8953,9;0,0058;0,3364
45;EB FIBRA;22,0;0,0;0,0
45;OI;96273,56;0,0628;39,438399999999994
45;OUTROS;38610,43;0,0252;6,3504000000000005
45;SURF TELECOM;25089,0;0,0164;2,6896000000000004
45;TELECOM AMERICAS;257629,79;0,1681;282,5761
45;TELECOM ITALIA;841410,98;0,5491;3015,1081000000004
45;TELEFONICA;264257,28;0,1725;297,56249999999994
46;AMERICA NET;65,0;0,0001;0,0001
46;DATORA;10202,3;0,0138;1,9044
46;OI;46381,94;0,0627;39,312900000000006
46;OUTROS;23328,05;0,0315;9,922500000000001
46;SURF TELECOM;15714,0;0,0212;4,4944
46;TELECOM AMERICAS;127489,64;0,1723;296,8729
46;TELECOM ITALIA;373592,05;0,5048;2548,2304
46;TELEFONICA;143233,09;0,1936;374,8096
47;AMERICA NET;529,5;0,0001;0,0001
47;DATORA;11370,0;0,0026;0,0676
47;OI;304277,01;0,0702;49,2804
47;OUTROS;34612,61;0,008;0,64
47;SURF TELECOM;17401,5;0,004;0,16
47;TELECOM AMERICAS;993076,5;0,2291;524,8681
47;TELECOM ITALIA;1717267,7;0,3962;1569,7444
47;TELEFONICA;1255361,28;0,2897;839,2609000000001
48;AMERICA NET;181,5;0,0001;0,0001
48;DATORA;14035,1;0,0041;0,16810000000000003
48;OI;292699,65;0,0858;73,6164
48;OUTROS;52204,51;0,0153;2,3409
48;SURF TELECOM;23872,5;0,007;0,49000000000000005
48;TELECOM AMERICAS;773731,57;0,2267;513,9289
48;TELECOM ITALIA;1402025,51;0,4107;1686,7449000000001
48;TELEFONICA;854583,71;0,2504;627,0016
49;AMERICA NET;1094,0;0,0005;0,0025
49;DATORA;500,0;0,0002;0,0004
49;OI;149801,41;0,0737;54,316900000000004
49;OUTROS;43743,74;0,0215;4,6225
49;SURF TELECOM;29117,0;0,0143;2,0449
49;TELECOM AMERICAS;492082,8;0,242;585,64
49;TELECOM ITALIA;850168,13;0,4181;1748,0761000000002
49;TELEFONICA;466955,76;0,2296;527,1616
51;AMERICA NET;1577,0;0,0002;0,0004
51;DATORA;79283,1;0,0092;0,8464
51;OI;940203,18;0,1095;119,90249999999999
51;OUTROS;71918,75;0,0084;0,7055999999999999
51;SURF TELECOM;15134,0;0,0018;0,0324
51;TELECOM AMERICAS;2614736,12;0,3046;927,8115999999999
51;TELECOM ITALIA;1521807,16;0,1773;314,35290000000003
51;TELEFONICA;3340161,01;0,3891;1513,9881
53;AMERICA NET;18,0;0,0;0,0
53;DATORA;10551,9;0,0067;0,4489000000000001
53;OI;257330,76;0,1622;263,08840000000004
53;OUTROS;9595,05;0,006;0,36
53;SURF TELECOM;3902,0;0,0025;0,0625
53;TELECOM AMERICAS;430125,12;0,2711;734,9521000000001
53;TELECOM ITALIA;439578,39;0,2771;767,8441000000001
53;TELEFONICA;435323,51;0,2744;752,9535999999999
54;AMERICA NET;631,0;0,0002;0,0004
54;DATORA;8086,0;0,0026;0,0676
54;OI;195036,39;0,0638;40,7044
54;OUTROS;13480,95;0,0044;0,19360000000000002
54;SURF TELECOM;5444,5;0,0018;0,0324
54;TELECOM AMERICAS;1157129,47;0,3782;1430,3523999999998
54;TELECOM ITALIA;374278,44;0,1223;149,5729
54;TELEFONICA;1305261,29;0,4266;1819,8755999999998
55;AMERICA NET;926,0;0,0003;0,0008999999999999999
55;OI;289607,24;0,1073;115,1329
55;OUTROS;15972,1;0,0059;0,3481
55;SURF TELECOM;4684,5;0,0017;0,0289
55;TELECOM AMERICAS;620055,82;0,2298;528,0804
55;TELECOM ITALIA;440751,68;0,1633;266,6689
55;TELEFONICA;1326228,68;0,4915;2415,7225
61;AMERICA NET;1117,5;0,0002;0,0004
61;DATORA;61830,0;0,0104;1,0816
61;OI;623084,99;0,1044;108,99360000000001
61;OUTROS;20937,81;0,0035;0,12250000000000001
61;SURF TELECOM;7240,5;0,0012;0,014399999999999998
61;TELECOM AMERICAS;2062006,53;0,3456;1194,3936
61;TELECOM ITALIA;1548953,32;0,2596;673,9215999999999
61;TELEFONICA;1640643,11;0,275;756,2500000000001
62;AMERICA NET;60,5;0,0;0,0
62;DATORA;39913,0;0,0058;0,3364
62;OI;1044422,93;0,1509;227,70810000000003
62;OUTROS;10302,67;0,0015;0,0225
62;SURF TELECOM;4521,5;0,0007;0,0049
