Código Nacional;Grupo Econômico;media_ano;market_share;hhi_empresa
31;TELECOM ITALIA;1785147,74;0,1865;347,8225
31;TELEFONICA;3926678,03;0,4103;1683,4609
32;DATORA;2414,17;0,0011;0,012100000000000001
32;NEXTEL;40,32;0,0;0,0
32;OI;457827,42;0,2134;455,3956
32;OUTROS;2659,35;0,0012;0,014399999999999998
32;TELECOM AMERICAS;399271,16;0,1861;346,33209999999997
32;TELECOM ITALIA;269327,74;0,1255;157,5025
32;TELEFONICA;1014217,33;0,4727;2234,4529
33;DATORA;2419,17;0,0012;0,014399999999999998
33;NEXTEL;6,48;0,0;0,0
33;OI;661571,79;0,3213;1032,3368999999998
33;OUTROS;2441,65;0,0012;0,014399999999999998
33;TELECOM AMERICAS;182199,57;0,0885;78,32249999999999
33;TELECOM ITALIA;178661,55;0,0868;75,3424
33;TELEFONICA;1031682,9;0,5011;2511,0120999999995
34;ALGAR (CTBC TELECOM);954709,83;0,3235;1046,5225
34;DATORA;2993,83;0,001;0,01
34;NEXTEL;25,64;0,0;0,0
34;OI;356388,18;0,1207;145,6849
34;OUTROS;3255,48;0,0011;0,012100000000000001
34;TELECOM AMERICAS;293139,41;0,0993;98,6049
34;TELECOM ITALIA;558033,79;0,1891;357,58809999999994
34;TELEFONICA;782930,99;0,2653;703,8408999999999
35;ALGAR (CTBC TELECOM);20456,15;0,0069;0,4761
35;DATORA;5011,58;0,0017;0,0289
35;NEXTEL;74,67;0,0;0,0
35;OI;452271,47;0,1515;229,5225
35;OUTROS;21023,89;0,007;0,49000000000000005
35;TELECOM AMERICAS;286005,8;0,0958;91,7764
35;TELECOM ITALIA;486931,83;0,1631;266,0161
35;TELEFONICA;1714477,11;0,5741;3295,9081000000006
37;ALGAR (CTBC TELECOM);94049,1;0,0651;42,380100000000006
37;DATORA;2427,5;0,0017;0,0289
37;NEXTEL;7,0;0,0;0,0
37;OI;185171,32;0,1282;164,35240000000005
37;OUTROS;3680,63;0,0025;0,0625
37;TELECOM AMERICAS;58578,51;0,0406;16,4836
37;TELECOM ITALIA;219229,37;0,1518;230,43239999999997
37;TELEFONICA;880689,26;0,61;3721,0
