;UF;HHI;analise_mercado_hhi
0;AC;3806,2189;altamente concentrado
1;AL;2602,6257;altamente concentrado
2;AM;3357,1434;altamente concentrado
3;AP;2868,4206000000004;altamente concentrado
4;BA;2594,6620000000003;altamente concentrado
5;CE;2700,5774000000006;altamente concentrado
6;DF;2961,5298;altamente concentrado
7;ES;5264,9641;altamente concentrado
8;GO;2908,2848000000004;altamente concentrado
9;MA;2767,7267;altamente concentrado
10;MG;2956,4712;altamente concentrado
11;MS;3589,7720999999997;altamente concentrado
12;MT;3623,3278999999998;altamente concentrado
13;PA;2766,6636;altamente concentrado
14;PB;2784,5033999999996;altamente concentrado
15;PE;2698,9951;altamente concentrado
16;PI;2764,7304000000004;altamente concentrado
17;PR;3610,0336;altamente concentrado
18;RJ;2716,4602999999997;altamente concentrado
19;RN;2858,5006;altamente concentrado
20;RO;3786,353900000001;altamente concentrado
21;RR;3869,6479;altamente concentrado
22;RS;3472,1839999999993;altamente concentrado
23;SC;3235,9009000000005;altamente concentrado
24;SE;4506,7311;altamente concentrado
25;SP;2678,7221000000004;altamente concentrado
26;TO;3925,2799000000005;altamente concentrado
