Código Nacional;Grupo Econômico;media_ano;market_share;hhi_empresa
11;AMERICA NET;69462,53;0,0017;0,0289
11;DATORA;574942,38;0,0143;2,0449
11;OUTROS;263529,38;0,0066;0,4356
11;SURF TELECOM;123890,51000000001;0,0031;0,09609999999999999
11;TELECOM AMERICAS;14378745,39;0,3584;1284,5056
11;TELECOM ITALIA;9862645,07;0,2459;604,6681
11;TELEFONICA;14840965,92;0,37;1369,0
12;AMERICA NET;19732,149999999998;0,0053;0,2809
12;DATORA;55256,0;0,0148;2,1904000000000003
12;OUTROS;51600,74;0,0138;1,9044
12;SURF TELECOM;10413,7;0,0028;0,0784
12;TELECOM AMERICAS;1088391,35;0,292;852,6399999999999
12;TELECOM ITALIA;1066364,57;0,2861;818,5321000000001
12;TELEFONICA;1435205,41;0,3851;1483,0201000000002
13;AMERICA NET;129,75;0,0;0,0
13;DATORA;90585,75;0,0272;7,3984
13;OUTROS;52284,01;0,0157;2,4648999999999996
13;SURF TELECOM;8345,380000000001;0,0025;0,0625
13;TELECOM AMERICAS;1218379,01;0,3653;1334,4409
13;TELECOM ITALIA;645367,13;0,1935;374,4225
13;TELEFONICA;1320419,78;0,3959;1567,3680999999997
14;AMERICA NET;9737,02;0,0031;0,09609999999999999
14;DATORA;34802,5;0,0111;1,2321
14;OUTROS;57120,259999999995;0,0183;3,3489
14;SURF TELECOM;6586,57;0,0021;0,04409999999999999
14;TELECOM AMERICAS;735245,05;0,2352;553,1904
14;TELECOM ITALIA;509619,72;0,163;265,69
14;TELEFONICA;1773253,18;0,5672;3217,1584000000003
15;AMERICA NET;1058,6299999999999;0,0004;0,0016
15;DATORA;37529,38;0,0129;1,6641
15;OUTROS;39053,479999999996;0,0135;1,8224999999999998
15;SURF TELECOM;4520,21;0,0016;0,0256
15;TELECOM AMERICAS;938339,09;0,3233;1045,2288999999998
15;TELECOM ITALIA;371554,89;0,128;163,84
15;TELEFONICA;1510284,94;0,5204;2708,1616
16;ALGAR (CTBC TELECOM);3413590,8600000003;0,4527;2049,3729
16;AMERICA NET;161,28;0,0;0,0
16;DATORA;59504,12;0,0079;0,6241000000000001
16;OUTROS;58704,3;0,0078;0,6083999999999999
16;SURF TELECOM;6238,8099999999995;0,0008;0,0064
16;TELECOM AMERICAS;1868456,01;0,2478;614,0483999999999
16;TELECOM ITALIA;872005,43;0,1156;133,6336
16;TELEFONICA;1262608,6;0,1674;280,2276
17;ALGAR (CTBC TELECOM);50722,26;0,0175;3,0625000000000004
